Battery Model,Cell Size,Tested mAh,DC IR (mohm),Est WH,Ohm-Wh,Rated mAh,E-Score 5A,E-Score 10A,E-Score 15A,E-Score 20A,E-Score 30A,E-Score 40A,E-Score 50A,Rated CDR/TL,Estimated CDR/TL,Cell Mass,Cell Dimension
BAK H18650CAP,18650,2050,17.2,7.38,0.126936,2050,6.9,6.8,,6.2,,,,30A,18A,,
BAK N18650CNP,18650,2500,19.4,9,0.1746,2500,,8,,7.3,,,,30A,20A,,
BAK N18650COP,18650,2500,17.4,9,0.1566,2500,8.2,8.1,7.7,7.7,,,,30A,25A/30A,,
DLG INR18650-320,18650,2900,51.5,10.44,0.53766,3000,9.1,8.4,,,,,,6.4A,6.4A/9.6A,,
DMEGC 29E,18650,2900,43.3,10.44,0.452052,2900,9.2,,,,,,,5.8A,5.8A,,
Epoch 28B,18650,2750,16.3,9.9,0.16137,2800,9.1,9,,8.6,7.9,,,40A,25A/40A,,
EVE 20P,18650,2000,19.2,7.2,0.13824,2000,,6.8,6.3,6.2,,,,30A,20A,,
EVE 25P (no CCC),18650,2400,19.2,8.64,0.165888,2500,,7.7,7.2,7.1,,,,30A,20A,,
EVE 25P (w/ CCC),18650,2500,21,9,0.189,2500,8.3,8.1,7.5,7.3,,,,30A,20A,,
EVE 26V,18650,2550,31.7,9.18,0.291006,2550,8.4,,,,,,,7.5A,7.5A,,
EVE 29V,18650,2700,34.2,9.72,0.332424,2850,9,,,,,,,8.4A,8.4A,,
EVE 30P,18650,3000,16.8,10.8,0.18144,3000,10,9.8,9,9,,,,UNK/30A,20A/30A,,
EVE 30PL (w/ CCC),18650,3000,6.5,10.8,0.0702,3000,10.4,10.4,,10.3,9.8,9.6,,UNK/60A,45A/60A,,
EVE 33V (w/ CCC),18650,3000,34.3,10.8,0.37044,3200,10,9.5,,,,,,10A,10A,,
EVE 35V (w/ CCC),18650,3400,32.2,12.24,0.394128,3500,11,10.2,,,,,,10.2A,10.2A,,
LG HG2 (QR code),18650,2900,24,10.44,0.25056,3000,,9.6,8.8,8.6,,,,20A,17A,,
LG HJ2,18650,2950,16.7,10.62,0.177354,2950,9.4,9.3,8.6,8.6,,,,20A,15A/20A,,
LG M32,18650,3000,33.3,10.8,0.35964,3000,9.8,9.4,,,,,,UNK,7A/10A,,
LG MJ1,18650,3500,45.1,12.6,0.56826,3500,10.7,10,,,,,,10A,10A,,
LT 19660 (JP30?),18650,3000,6.2,10.8,0.06696,3000,10,10,,9.9,9.6,,,36A,36A,,
Molicel P26A,18650,2600,15.2,9.36,0.142272,2600,8.4,8.4,8.1,8.4,,,,35A,25A/35A,,
Molicel P28A,18650,2800,18.2,10.08,0.183456,2800,9.3,9.1,8.7,8.8,7.9,,,35A,25A/35A,,
Molicel P28B,18650,2700,15.8,9.72,0.153576,2800,9.1,9,,8.6,7.9,,,40A,25A/40A,,
Molicel P30B,18650,3000,9.4,10.8,0.10152,3000,9.8,9.8,,9.9,8.7,,,30A,30A,,
Molicel M35A,18650,3450,51,12.42,0.63342,3450,10.4,9.7,,,,,,10A,10A,,
Murata VTC4,18650,2100,18.7,7.56,0.141372,2100,,6.7,6.3,6.3,,,,UNK,23A,,
Murata VTC5,18650,2600,20.9,9.36,0.195624,2600,,8.4,7.9,7.9,,,,UNK,20A,,
Murata VTC5A,18650,2500,15.6,9,0.1404,2500,,7.9,7.3,7.3,6.5,,,30A,25A/35A,,
Murata VTC5D,18650,2700,15,9.72,0.1458,2700,,8.8,,8.2,7.3,,,UNK,25A/35A,,
Murata VTC6,18650,3000,18.4,10.8,0.19872,3000,10,9.7,8.9,,,,,15A,15A,,
Panasonic GA,18650,3300,44,11.88,0.52272,3300,10.5,9.8,,,,,,10A,10A,,
SAFD,18650,3950,57.4,14.22,0.816228,4000,11.4,,,,,,,4A,4A,,
Samsung 20S3,18650,2000,11.4,7.2,0.08208,2000,,6.7,,6.4,6,,,30A,30A,,
Samsung 24S,18650,2400,16.7,8.64,0.144288,2400,,7.5,,7.2,,,,UNK,25A-30A,,
Samsung 25R8,18650,2500,17.9,9,0.1611,2500,,8.3,7.8,7.9,,,,20A,20A,,
Samsung 25S,18650,2500,16.9,9,0.1521,2500,,8.1,,7.6,,,,25A,25A/35A,,
Samsung 30Q6,18650,3000,16.6,10.8,0.17928,3000,9.8,9.5,8.9,,,,,15A,15A,,
Samsung 35E5,18650,3350,30,12.06,0.3618,3350,10.7,,,,,,,8A/13A,8A/13A,,
Sinowatt 25SP,18650,2500,23.2,9,0.2088,2500,,8.3,7.8,7.9,,,,20A,20A,,
Sinowatt 30SP,18650,3000,24.2,10.8,0.26136,3000,9.3,9.1,8.2,,,,,15A,15A,,
Sinowatt 34MP,18650,3250,52.1,11.7,0.60957,3350,9.8,8.5,,,,,,10A,10A,,
Sinowatt 35HP,18650,3350,26.6,12.06,0.320796,3350,10.2,9.5,,,,,,10A,10A,,
Sony VC7,18650,3500,31.7,12.6,0.39942,3500,10.4,,,,,,,8A,8A,,
Sony VT4,18650,2000,27.9,7.2,0.20088,2000,,7,6.3,6.1,,,,22A,20A,,
Sony VTC5D,18650,2700,15,9.72,0.1458,2700,,8.8,,8.2,7.3,,,35A,25A/35A,,
Sony VTC6,18650,3000,21.4,10.8,0.23112,3000,,9.7,8.9,,,,,15A,15A/20A,,
Tenpower 32HE,18650,3100,33.6,11.16,0.374976,3200,10,9.3,,,,,,10A,8A/10A,,
Vapcell F38,18650,3800,32,13.68,0.43776,3800,11.6,11.1,,,,,,10A,10A,,
Vapcell N40,18650,4000,31.6,14.4,0.45504,4000,12.3,11.7,,,,,,10A,10A,,
Vapcell N41,18650,3950,35.8,14.22,0.509076,4050,11.8,11.1,,,,,,10A/12.5A,10A/12.5A,,
Ampace JP40,21700,4000,6,14.4,0.0864,4000,14.1,14.1,,13.9,13.6,13.3,,45A/60A,45A/60A,,
BAK 45D,21700,4500,6,16.2,0.0972,4500,15,15,,14.7,14.1,,,30A/60A,30A/60A,,
BAK 53E,21700,5300,19.4,19.08,0.370152,5300,17,16.5,,,,,,10.6A,10.6A,,
BAK 21700CG-50,21700,4900,22.2,17.64,0.391608,4900,16.1,15.8,14.6,,,,,15A,10A/15A,,
BTCAP 42P,21700,4200,8.4,15.12,0.127008,4200,14.3,14.3,,13.9,13.2,,,UNK/70A,35A/70A,,
Epoch 45B,21700,4500,9.2,16.2,0.14904,4500,14.8,14.7,,14.3,13.4,12.8,,45A,35A/45A,,
EVE 40P,21700,4000,11.3,14.4,0.16272,4000,13.7,13.5,,13,11.9,,,35A/50A,30A/50A,,
EVE 40PL,21700,4000,5.1,14.4,0.07344,4000,13.7,13.7,,13.5,13,12.8,,70A,45A/70A,,
EVE 50E,21700,5000,25.3,18,0.4554,5000,16.3,15.9,,,,,,15A,10A/15A,,
EVE 50PL,21700,5000,6.6,18,0.1188,5000,15.9,15.9,,15.6,15,14.7,14.2,UNK/125A,50A/125A,,
EVE 58E,21700,5700,17.2,20.52,0.352944,5700,18.4,17.9,16.2,,,,,16.8A,13A/16.8A,,
LG H30A,21700,3000,10.5,10.8,0.1134,UNK,,10.2,,10,9.4,,,UNK,30A,,
LG H40A,21700,4000,11.2,14.4,0.16128,UNK,,13,,12.3,11.4,,,UNK,25A,,
LG H50,21700,4900,15.3,17.64,0.269892,UNK,,15.9,,,,,,UNK,9.8A,,
LG H51T,21700,5000,18.4,18,0.3312,5000,16.3,16.1,14.5,14.3,,,,20A,20A,,
LG M50LT,21700,4800,18.3,17.28,0.316224,4932,16.3,16.1,,,,,,14.4A,14.4A,,
LG M50T,21700,4900,27.1,17.64,0.478044,5014,15.2,14.4,,,,,,14.6A,14.6A,,
LG M58T,21700,5570,18.9,20.052,0.3789828,5570,17.9,17.2,,,,,,12.5A,12.5A,,
Lishen LR2170LA,21700,4000,14.2,14.4,0.20448,4000,13.1,13.1,,12.5,11.4,,,45A,30A/45A,,
Lishen LR2170SA,21700,4000,22,14.4,0.3168,4000,12.8,12.8,,,,,,12A,12A,,
Lishen LR2170SD,21700,4900,25.5,17.64,0.44982,5000,15.4,15.1,,,,,,9.6A,9.6A,,
Lishen LR2170SF,21700,4500,23.7,16.2,0.38394,4500,14.4,13.9,,,,,,13.5A,13.5A,,
Lishen LR2170SK,21700,5750,21.7,20.7,0.44919,5800,17.4,16.7,,,,,,16.95,12A/17A,,
LT 22710A,21700,4000,5.4,14.4,0.07776,4000,14.1,14.1,,14.1,13.6,13.3,,45A/60A,45A/60A,,
Molicel P42A,21700,4000,13,14.4,0.1872,4000,13.7,13.6,,13,12,,,45A,30A/45A,,
Molicel P45B,21700,4450,9.7,16.02,0.155394,4500,14.8,14.7,,14.2,13.4,,,45A,35A/45A,,
Molicel P50B,21700,5000,8.2,18,0.1476,5000,16,15.7,,15.2,14.2,,,60A,35A/60A,,
Molicel M50A,21700,4900,21.3,17.64,0.375732,4800,15.8,15.1,,,,,,15A,15A,,
Murata VTC6A,21700,4000,11.2,14.4,0.16128,4000,13.1,13,12.2,12.3,11.1,,,UNK/35A,25A/35A,,
Reliance RS40,21700,4000,4.8,14.4,0.06912,4000,13.6,13.5,,13.4,12.8,12.5,,UNK/70A,40A/70A,,
Reliance RS50,21700,4950,5.2,17.82,0.092664,4950,16.2,16.6,,15.9,15.1,15.1,,UNK/70A,40A/70A,,
Reliance RS50 (CCC),21700,4950,6.5,17.82,0.11583,4950,16.5,16.6,,16.2,15.5,15.2,,UNK/70A,40A/70A,,
Samsung 30T,21700,3100,11.6,11.16,0.129456,2950,,10.6,,10.4,9.9,,,35A,35A,,
Samsung 40T5,21700,4000,14.4,14.4,0.20736,4000,13.7,13.3,,12,10.2,,,35A/45A,25A/35A,,
Samsung 45T,21700,4500,10.4,16.2,0.16848,4500,15,14.8,,14.3,13.1,,,,30A/50A,,
Samsung 50E2,21700,4900,16.9,17.64,0.298116,4900,16,15.6,,,,,,9.8A,9.8A/14.7A,,
Samsung 50S2,21700,5000,13.4,18,0.2412,5000,16.8,16.4,15.4,15.2,,,,25A/45A,25A/45A,,
Samsung 53G,21700,5200,28.1,18.72,0.526032,5300,16.8,16.2,,,,,,10.6A,10.6A,,
Samsung 50GB,21700,5000,16.5,18,0.297,5000,16.4,15.9,,,,,,9.8A,9.8A,,
Samsung 58E,21700,5499,15.6,19.7964,0.30882384,5490,18,17.5,,,,,,11A/16A,11A/16A,,
Tenpower 40TG,21700,4000,11.9,14.4,0.17136,4000,13,13,,12.3,11.2,,,35A,30A/35A,,
Tenpower 40XG,21700,4000,5,14.4,0.072,4000,13.8,13.8,,13.6,13.1,12.9,,45A/90A,45A/90A,,
Tenpower 50XG,21700,5000,6.9,18,0.1242,5000,16.1,15.9,,16.1,15.4,15.2,,40A/90A,40A/90A,,
Vapcell S41,21700,4000,5.6,14.4,0.08064,4100,13.8,13.7,13.6,13.1,12.6,12.5,,45A/70A,40A/70A,,
Vapcell F56,21700,5600,16.2,20.16,0.326592,5600,18,17.6,,,,,,12.5A,12.5A,,
Vapcell F58,21700,5700,18.5,20.52,0.37962,5800,17.9,17.2,,,,,,12.5A,12.5A,,
Vapcell F60,21700,6000,19.4,21.6,0.41904,6000,18.6,17.8,,,,,,12.5A,12.5A,,
Vapcell F63,21700,6150,19.9,22.14,0.440586,6250,19,18.2,,,,,,12.5A,12.5A,,
